order_id,date,product,quantity,price,discount,customer_region,category
1,2023-04-13,Mouse,5,3114,5,North,Accessories
2,2023-12-15,Keyboard,3,21552,27,North,Accessories
3,2023-09-28,Laptop,4,46552,16,East,Accessories
4,2023-04-17,Charger,1,45112,4,East,Accessories
5,2023-03-13,Laptop,5,14597,4,South,Electronics
6,2023-07-08,USB Cable,5,41755,5,Central,Accessories
7,2023-01-21,Laptop,1,47159,2,West,Electronics
8,2023-04-13,Keyboard,5,928,20,North,Electronics
9,2023-05-02,Laptop,3,898,22,South,Electronics
10,2023-08-03,Mouse,4,40154,4,South,Accessories
11,2023-11-27,Mouse,1,47480,20,North,Electronics
12,2023-03-29,Phone,4,14123,4,West,Accessories
13,2023-04-10,Headphones,5,16979,9,South,Accessories
14,2023-12-26,Monitor,5,7600,9,South,Accessories
15,2023-06-01,Charger,1,24666,18,Central,Accessories
16,2023-05-11,USB Cable,3,37139,16,West,Accessories
17,2023-05-30,Laptop,2,4560,20,South,Electronics
18,2023-11-05,Laptop,1,35470,13,West,Accessories
19,2023-09-15,Keyboard,2,17301,8,North,Accessories
20,2023-12-10,Headphones,2,32507,13,East,Electronics
21,2023-10-21,Mouse,3,5686,0,South,Electronics
22,2023-07-11,Charger,2,8535,18,Central,Accessories
23,2023-10-04,Phone,2,21564,12,North,Accessories
24,2023-06-10,Mouse,3,37459,12,West,Accessories
25,2023-11-10,USB Cable,2,23776,3,North,Accessories
26,2023-01-22,Headphones,2,31867,29,South,Accessories
27,2023-09-10,USB Cable,2,11330,0,West,Electronics
28,2023-08-24,Monitor,1,22172,16,East,Accessories
29,2023-12-11,Phone,1,40619,7,North,Electronics
30,2023-02-18,Monitor,1,1367,1,South,Electronics
31,2023-02-28,Keyboard,3,27392,27,Central,Electronics
32,2023-06-19,USB Cable,5,1262,7,West,Electronics
33,2023-07-07,Keyboard,2,18740,6,North,Accessories
34,2023-09-28,Laptop,2,24444,25,North,Electronics
35,2023-07-09,Monitor,3,21745,25,East,Accessories
36,2023-06-24,Headphones,2,21889,1,East,Accessories
37,2023-02-20,USB Cable,1,11374,21,Central,Electronics
38,2023-12-30,Charger,5,23125,21,Central,Accessories
39,2023-02-24,Phone,4,37697,2,South,Electronics
40,2023-09-01,Mouse,2,9548,26,South,Electronics
41,2023-11-16,Headphones,1,23914,17,Central,Accessories
42,2023-05-11,Headphones,4,38302,11,Central,Electronics
43,2023-11-03,Keyboard,5,9124,0,West,Accessories
44,2023-05-15,Monitor,4,37298,21,East,Electronics
45,2023-01-21,USB Cable,1,24594,11,South,Electronics
46,2023-11-25,USB Cable,4,7001,4,East,Accessories
47,2023-06-16,Laptop,3,37814,29,East,Accessories
48,2023-10-01,Laptop,4,6931,29,Central,Electronics
49,2023-03-30,Phone,2,48336,26,West,Accessories
